WormBase.ID	Public.Gene.Name	Sequence.ID	Affy.Probe.Set.ID
WBGene00007063	2L52.1	2L52.1	176581_at
WBGene00007064	2RSSE.1	2RSSE.1a	173189_at
WBGene00007065	pot-3	3R5.1a	177189_at
WBGene00003525	nas-6	4R79.1a	192447_at
WBGene00007067	4R79.2	4R79.2a	188501_at
WBGene00007069	6R55.2	6R55.2	177356_at
WBGene00005532	sri-20	AC3.1	177197_at
WBGene00004964	spe-10	AC3.10	177147_at
NA	NA	AC3.2	190945_at
WBGene00000024	abu-1	AC3.3	177193_s_at
WBGene00007071	AC3.5	AC3.5a	190288_at
WBGene00000724	col-151	AC3.6	188045_at
WBGene00007072	ugt-1	AC3.7	190879_at
WBGene00007073	ugt-2	AC3.8	190895_at
WBGene00006428	tkr-3	AC7.1a	190893_s_at
WBGene00004929	soc-2	AC7.2a	173427_at
WBGene00004929	soc-2	AC7.2a	187914_s_at
WBGene00004929	soc-2	AC7.2a	175244_at
WBGene00014997	AC7.3	AC7.3	176658_at
NA	NA	AF082012.1	AFFX-Ce_gly14_3_at
NA	NA	AF082012.1	AFFX-Ce_gly14_5_at
NA	NA	AF082012.1	AFFX-Ce_gly14_M_at
WBGene00007082	acs-10	AH10.1	191649_at
WBGene00007083	AH10.2	AH10.2	177382_at
WBGene00007084	AH10.3	AH10.3	177345_at
WBGene00007085	AH10.4	AH10.4	172166_x_at
WBGene00001528	gcy-1	AH6.1	191744_at
WBGene00005032	sra-6	AH6.10	188086_at
WBGene00005033	sra-7	AH6.11	188140_at
WBGene00005034	sra-8	AH6.12	188126_at
NA	NA	AH6.13	185397_at
WBGene00005035	sra-9	AH6.14	188124_at
WBGene00007080	sfxn-1.1	AH6.2	181923_at
WBGene00007081	AH6.3	AH6.3	182577_at
WBGene00005027	Sra-1	AH6.4	188053_at
WBGene00003231	mex-6	AH6.5	192002_at
WBGene00003231	mex-6	AH6.5	175381_at
WBGene00005028	sra-2	AH6.6	188093_at
WBGene00005029	sra-3	AH6.7	188057_at
WBGene00005030	sra-4	AH6.8	188042_at
NA	NA	AH6.9	188049_at
WBGene00014998	AH9.1	AH9.1	193994_at
WBGene00000797	crn-4	AH9.2	185507_at
WBGene00014999	AH9.3	AH9.3	185477_s_at
WBGene00015000	AH9.4	AH9.4	185200_at
NA	NA	AU113356	173372_at
NA	NA	AU113402	175480_at
NA	NA	AU114189	173207_at
NA	NA	AU114683	173154_s_at
NA	NA	AU115528	171971_x_at
NA	NA	AU115959	171938_x_at
NA	C05D2.11	AU116220	175290_at
NA	NA	AU116455	175486_at
NA	NA	AV175780	171934_x_at
NA	NA	AV175985	173169_at
NA	NA	AV176402	175545_at
NA	NA	AV178381	175164_at
NA	NA	AV180510	175467_at
NA	NA	AV181201	173419_at
NA	NA	AV181201	173420_s_at
NA	NA	AV181294	173184_at
NA	anr-25 	AV181810	175359_at
NA	NA	AV181971	175537_at
NA	NA	AV182916	173107_at
NA	NA	AV183655	175337_at
WBGene00206367 	NA	AV184196	173079_s_at
NA	NA	AV184387	175286_at
NA	NA	AV184887	171943_x_at
NA	NA	AV185302	175385_at
NA	NA	AV196817	175094_s_at
NA	NA	AV197102	173640_at
NA	W06H8.5	AV199200	175490_at
NA	NA	AV199377	175179_at
NA	NA	AV199678	171992_x_at
NA	NA	AV199679	175446_at
NA	NA	AV199751	175366_at
NA	NA	AV199956	175401_at
NA	NA	AV200121	173134_at
NA	NA	AV200154	175305_at
NA	NA	AV200674	172008_x_at
NA	F46A8.13	AV200873	175278_at
NA	NA	AV200983	171958_at
NA	NA	AV201792	175135_at
NA	NA	AV203160	175120_at
NA	F08H9.15	AW057380	175570_at
WBGene00003010	lin-24	B0001.1a	178830_at
WBGene00007087	B0001.2	B0001.2	178953_s_at
WBGene00007088	B0001.3	B0001.3a	178981_s_at
WBGene00007089	B0001.4	B0001.4	189844_at
WBGene00007089	B0001.4	B0001.4	174145_at
WBGene00007090	B0001.5	B0001.5	175583_s_at
WBGene00007091	eri-12	B0001.6	179119_at
WBGene00007092	B0001.7	B0001.7a	179052_s_at
WBGene00007093	B0001.8	B0001.8a	178835_s_at
WBGene00000138	amx-2	B0019.1	178588_s_at
WBGene00007094	B0019.2	B0019.2	178769_at
WBGene00007094	B0019.2	B0019.2	178887_at
WBGene00000722	col-149	B0024.1	188350_at
WBGene00000722	col-149	B0024.1	189982_at
WBGene00007100	B0024.10	B0024.10	173957_s_at
WBGene00007101	B0024.11	B0024.11	193274_s_at
WBGene00001646	gna-1	B0024.12	193539_at
WBGene00007102	B0024.13	B0024.13	183419_at
